poetryId,标题,诗文,翻译,朝代,诗人,标签
493,宫中题,辇路生春草，上林花发时。凭高何限意，无复侍臣知。,"宫中的甬道边长起秋草的时候，御花园里的花仍然在枝头上绽放着。
现在的我想登上多高的山也不再需要和侍臣们商量了，当然政见也不再需要和他们一致了。",唐代,李昂,抒情
551,如意娘,看朱成碧思纷纷，憔悴支离为忆君。不信比来长下泪，开箱验取石榴裙。,"相思过度，以致魂不守舍，恍惚迷离中竟将红色看成绿色。思念后果，身体憔悴，精神恍惚。
如果你不相信我近来因思念你而流泪。那就开箱看看我石榴裙上的斑斑泪痕吧。",唐代,武则天,婉约
556,赋得北方有佳人,由来称独立，本自号倾城。柳叶眉间发，桃花脸上生。腕摇金钏响，步转玉环鸣。纤腰宜宝袜，红衫艳织成。悬知一顾重，别觉舞腰轻。,"她向来有独来独往的名声，自认有倾国倾城的容貌。
修长的眉毛宛如柳叶，艳丽的面容好似盛开的桃花。
金钏随着手腕的摇动发出响动，腰间的玉环因为舞步转换而发出鸣声。
彩色的腰带与纤细的腰肢相得益彰，红色的衣衫衬着华丽的织成更加鲜艳。
料想到（观舞者）的知遇之恩有多么重要，更觉得自己舞动的腰肢分外轻盈。",唐代,徐惠,写人
566,谢赐珍珠,桂叶双眉久不描，残妆和泪污红绡。长门尽日无梳洗，何必珍珠慰寂寥。,"我细细的桂叶眉很久不描了，脸上的脂粉和着泪水流到了红绡裙上，弄脏了它。
数日没有梳洗了，你又何必用一斛珍珠来安慰我呢？",唐代,江采萍,思念
588,渡中江望石城泣下,江南江北旧家乡，三十年来梦一场。吴苑宫闱今冷落；广陵台殿已荒凉。云笼远岫愁千片，雨打归舟泪万行。兄弟四人三百口，不堪闲坐细思量。,"江南也好江北也罢，原来都是我的家乡，三十年过去了，就像做了一场梦。
当年的吴国宫廷院闱现在已经变得冷冷清清，当年的广陵亭台殿堂也已经变得十分荒凉。
站在江中船上看远处的岫岩被云雾笼罩，就像我的愁云片片。雨水敲打着归去的船就像我的眼泪一行行落下。
我们兄弟四人加上三百家人，此时不忍闲坐，细细思量我们的过失。",五代,李煜,抒情
1204,梅花落,梅岭花初发，天山雪未开。雪处疑花满，花边似雪回。因风入舞袖，杂粉向妆台。匈奴几万里，春至不知来。,"梅岭花朵盛开的时候，天山还未开始下雪。
下雪的地方看上去疑是开满了白白的梅花，而梅花的边缘处又像是落了一层积雪。
因着风儿的吹拂片片梅花飞入舞女的广袖中，又混杂着脂粉飘向女儿家的妆台。
几万里广袤荒凉的匈奴之地笼罩在茫茫白雪之中，春天到了了也还无从知晓。",唐代,卢照邻,梅花
1204,梅花落,梅岭花初发，天山雪未开。雪处疑花满，花边似雪回。因风入舞袖，杂粉向妆台。匈奴几万里，春至不知来。,"梅岭花朵盛开的时候，天山还未开始下雪。
下雪的地方看上去疑是开满了白白的梅花，而梅花的边缘处又像是落了一层积雪。
因着风儿的吹拂片片梅花飞入舞女的广袖中，又混杂着脂粉飘向女儿家的妆台。
几万里广袤荒凉的匈奴之地笼罩在茫茫白雪之中，春天到了了也还无从知晓。",唐代,卢照邻,边塞
1230,江南曲,偶向江边采白蘋，还随女伴赛江神。众中不敢分明语，暗掷金钱卜远人。,"偶尔到江边采摘白蘋，又随着女伴祭奠江神。
当着众人不敢明说心怀，暗暗地投掷金钱，卜问我那远方郎君的音讯。",唐代,于鹄,思念
1231,江南曲,嫁得瞿塘贾，朝朝误妾期。早知潮有信，嫁与弄潮儿。,"我真悔恨嫁做瞿塘商人妇，
他天天把相会的佳期耽误。
早知潮水的涨落这么守信，
还不如嫁一个弄潮的丈夫。",唐代,李益,闺怨
1287,长歌行,人生不作安期生，醉入东海骑长鲸；犹当出作李西平，手枭逆贼清旧京。金印辉煌未入手，白发种种来无情。成都古寺卧秋晚，落日偏傍僧窗明。岂其马上破贼手，哦诗长作寒螿鸣？兴来买尽市桥酒，大车磊落堆长瓶；哀丝豪竹助剧饮，如锯野受黄河倾。平时一滴不入口，意气顿使千人惊。国仇未报壮士老，匣中宝剑夜有声。何当凯旋宴将士，三更雪压飞狐城！,"一个人活在世上，就算没法做个安期生那样的仙人，喝醉了，在东海里骑着鲸鱼玩耍游荡；
也该做个李西平那样的名将，带兵杀敌，收复沦陷的国土与首都长安。
可怜我，什么功名也没建立，年龄却已老大，白发萧骚；
傍晚躺在这成都的古庙，眼见着落日的余晖，装点这僧房的纱窗。
哎，难道我这个驰骋沙场的杀敌能手，就成了这么个做做诗的无用之辈，像寒蝉那样？
酒兴来时我把桥边酒家的酒都买光；长长的酒瓶，把大车全都堆满。
唤来了乐队奏起悲壮的音乐助兴，喝起来犹如黄河水倾倒在钜野中一样。
我平时滴酒不沾，这番豪迈气概，顿时令许多人惊讶感叹。
国仇还没报，壮士已衰老；匣中宝剑耐不了寂寞，半夜里发出阵阵吟啸。
什么时候在三更大雪中收复了飞狐城，凯旋归来，与将士宴会欢笑！",宋代,陆游,抒情
1359,苦寒行,冰峰撑空寒矗矗，云凝水冻埋海陆。杀物之性，伤人之欲，既不能断绝蒺藜荆棘之根株，又不能展凤凰麒麟之拳跼。如此则何如为和煦，为膏雨，自然天下之荣枯，融融于万户。,"峻峭的山和大地，都被冰雪（恶势力）所覆盖。
（恶势力）杀物、伤人的恶性兴起，（我）既不能将他们连根拔起，也无法为百姓带来祥瑞。
如此一来，百姓便无安乐。可天下自然有法则，善恶兼存。善枯则恶荣，恶枯则善荣，待到善荣之日，万户必定能够愉快地生活。",唐代,齐己,冬天
1359,苦寒行,冰峰撑空寒矗矗，云凝水冻埋海陆。杀物之性，伤人之欲，既不能断绝蒺藜荆棘之根株，又不能展凤凰麒麟之拳跼。如此则何如为和煦，为膏雨，自然天下之荣枯，融融于万户。,"峻峭的山和大地，都被冰雪（恶势力）所覆盖。
（恶势力）杀物、伤人的恶性兴起，（我）既不能将他们连根拔起，也无法为百姓带来祥瑞。
如此一来，百姓便无安乐。可天下自然有法则，善恶兼存。善枯则恶荣，恶枯则善荣，待到善荣之日，万户必定能够愉快地生活。",唐代,齐己,哲理
1417,闺怨 / 怨诗,去年离别雁初归，今夜裁缝萤已飞。征客近来音信断，不知何处寄寒衣？,"去年离别正是北雁南飞，今夜灯下衣已不见流萤踪迹。
远征的丈夫近来没有消息，棉衣做好了不知该寄向哪儿？",唐代,张纮,闺怨
1417,闺怨 / 怨诗,去年离别雁初归，今夜裁缝萤已飞。征客近来音信断，不知何处寄寒衣？,"去年离别正是北雁南飞，今夜灯下衣已不见流萤踪迹。
远征的丈夫近来没有消息，棉衣做好了不知该寄向哪儿？",唐代,张纮,思念
1465,长信怨,金井梧桐秋叶黄，珠帘不卷夜来霜。熏笼玉枕无颜色，卧听南宫清漏长。高殿秋砧响夜阑，霜深犹忆御衣寒。银灯青琐裁缝歇，还向金城明主看。奉帚平明金殿开，暂将团扇共徘徊。玉颜不及寒鸦色，犹带昭阳日影来。真成薄命久寻思，梦见君王觉后疑。火照西宫知夜饮，分明复道奉恩时。长信宫中秋月明，昭阳殿下捣衣声。白露堂中细草迹，红罗帐里不胜情。,"金井边的梧桐秋叶渐黄，珠帘不卷可知夜里飞霜。
熏笼玉枕有如容颜憔悴，静卧愁听南宫漏声悠长。

秋天高殿内捣衣声响彻夜阑，夜里霜重还记起君王御衣寒。
更深人静银灯下裁衣才停歇，目光还转向宫城明主那边看。

天亮就拿起扫帚打扫金殿尘埃，百无聊赖时手执团扇且共徘徊。
美丽的容颜还不如乌鸦的姿色，它还能带着昭阳殿的日影飞来。

果真成为薄命人长久陷入沉思，梦中又见到君王醒后心里生疑。
灯火照耀着西宫知道是在夜饮，眼前分明浮现复道蒙恩受宠时。

长信宫中惟有秋月尚明，昭阳殿下响起捣衣声声。
白露堂中满是杂草印迹，那边红罗帐里绵绵深情。",唐代,王昌龄,秋天
1465,长信怨,金井梧桐秋叶黄，珠帘不卷夜来霜。熏笼玉枕无颜色，卧听南宫清漏长。高殿秋砧响夜阑，霜深犹忆御衣寒。银灯青琐裁缝歇，还向金城明主看。奉帚平明金殿开，暂将团扇共徘徊。玉颜不及寒鸦色，犹带昭阳日影来。真成薄命久寻思，梦见君王觉后疑。火照西宫知夜饮，分明复道奉恩时。长信宫中秋月明，昭阳殿下捣衣声。白露堂中细草迹，红罗帐里不胜情。,"金井边的梧桐秋叶渐黄，珠帘不卷可知夜里飞霜。
熏笼玉枕有如容颜憔悴，静卧愁听南宫漏声悠长。

秋天高殿内捣衣声响彻夜阑，夜里霜重还记起君王御衣寒。
更深人静银灯下裁衣才停歇，目光还转向宫城明主那边看。

天亮就拿起扫帚打扫金殿尘埃，百无聊赖时手执团扇且共徘徊。
美丽的容颜还不如乌鸦的姿色，它还能带着昭阳殿的日影飞来。

果真成为薄命人长久陷入沉思，梦中又见到君王醒后心里生疑。
灯火照耀着西宫知道是在夜饮，眼前分明浮现复道蒙恩受宠时。

长信宫中惟有秋月尚明，昭阳殿下响起捣衣声声。
白露堂中满是杂草印迹，那边红罗帐里绵绵深情。",唐代,王昌龄,闺怨
1557,湖边采莲妇,小姑织白纻，未解将人语。大嫂采芙蓉，溪湖千万重。长兄行不在，莫使外人逢。愿学秋胡妇，贞心比古松。,"小姑子在家纺织苎麻布，还不知道与人打交道。
大嫂子去湖里采芙蓉，曲溪宽湖，荷叶千万重。
你大哥外出远行，大嫂你别跟陌生人说话。
要像秋胡的夫人一样，不受诱惑，要像松树高洁。",唐代,李白,写人
1642,飞龙引二首·其一,黄帝铸鼎于荆山，炼丹砂。丹砂成黄金，骑龙飞上太清家，云愁海思令人嗟。宫中彩女颜如花，飘然挥手凌紫霞，从风纵体登鸾车。登鸾车，侍轩辕，遨游青天中，其乐不可言。,黄帝采集首山的铜，铸造宝鼎于荆山之下，炼制仙丹，仙丹炼制成功了，黄帝和群臣后宫乘龙飞仙进入仙境。天上的彩云迷迷茫茫，变幻如海，找不到升仙的途径，让我们世间的凡人空自叹息。联想天宫中披着七彩霓裳羽衣的宫女一定貌美如花。真想乘风飞身而上，登上黄帝乘坐的鸾车，陪在黄帝旁边，一起遨游在青天之上，那种乐趣一定妙不可言。,唐代,李白,抒情
1665,出自蓟北门行,虏阵横北荒，胡星曜精芒。羽书速惊电，烽火昼连光。虎竹救边急，戎车森已行。明主不安席，按剑心飞扬。推毂出猛将，连旗登战场。兵威冲绝幕，杀气凌穹苍。列卒赤山下，开营紫塞傍。孟冬沙风紧，旌旗飒凋伤。画角悲海月，征衣卷天霜。挥刃斩楼兰，弯弓射贤王。单于一平荡，种落自奔亡。收功报天子，行歌归咸阳。,胡虏横行于北方，胡星闪耀着光芒，胡人又一次发动了对汉族的侵略战争。告急的文书快如闪电，报警的烽火日夜燃烧。汉朝救边的将领受了皇帝的命令出征，战车森严地列队前进。英明的皇帝着急得不能安眠，他按着宝剑，驱除胡虏的决心十分坚定。大将出征讨伐胡人时，君王亲自为他推车，并郑重地对他嘱咐一番，授之以指挥作战的全权。极远的沙漠上顿时扬起了战争的灰烟，杀气顿时充斥在边塞。在赤山安兵布阵，在长城边的紫塞设营扎寨。北方的初冬风沙十分猛烈，旌旗飒飒，飘扬在万物凋伤的边塞。在边地的月光下吹奏出悲壮的画角声，战士的军衣上凝聚了层层寒霜。攻破敌国，弯弓射杀胡人的贤王，终于平荡了单于的部队，匈奴所属的部落各自奔亡。功成回来酬报天子，各地人民纷纷行歌庆贺，一直迎接战胜的军队回归到咸阳。,唐代,李白,战争
1682,妾薄命,汉帝重阿娇，贮之黄金屋。咳唾落九天，随风生珠玉。宠极爱还歇，妒深情却疏。长门一步地，不肯暂回车。雨落不上天，水覆难再收。君情与妾意，各自东西流。昔日芙蓉花，今成断根草。以色事他人，能得几时好。,汉武帝曾经十分宠爱阿娇，为她筑造金屋让她居住。武帝对她娇宠万分，即使她的唾沫落下，也会被看做像珠玉那样珍贵。娇宠到极点，恩爱也就停歇了，武帝对她的情意渐渐停歇淡薄。阿娇被贬长门后，即使与武帝的寝宫相距很近，武帝也不肯回车，在阿娇那里暂时停留。雨落之后再不会飞上天空，覆水也难再收回。武帝与阿娇的情意，各自东西。往日美丽的芙蓉花，今日成为凄凉的断根之草。如果凭借姿色侍奉他人，相好的日子是十分短暂的。,唐代,李白,哲理
1718,少年行四首,新丰美酒斗十千，咸阳游侠多少年。相逢意气为君饮，系马高楼垂柳边。出身仕汉羽林郎，初随骠骑战渔阳。孰知不向边庭苦，纵死犹闻侠骨香。一身能擘两雕弧，虏骑千重只似无。偏坐金鞍调白羽，纷纷射杀五单于。汉家君臣欢宴终，高议云台论战功。天子临轩赐侯印，将军佩出明光宫。,"新丰美酒一斗价值十千钱，出没五陵的游侠多是少年。
相逢时意气投合为君痛饮，骏马就拴在酒楼下垂柳边。

才从军便作汉朝的羽林郎，一开始就随将军鏖战渔阳。
谁知道不能去边关的痛苦，纵然战死还留下侠骨芬芳。

一个人就能拉开两张雕弓，敌骑千重全都不放在眼中。
偏坐金鞍上从容调好羽箭，不停地射去敌酋无法逃生。

朝廷君臣庆功大宴方告终，高高坐在云台上谈论战功。
天子亲临殿栏赐予列侯印，将军佩着印绶走出明光宫。",唐代,王维,励志
1718,少年行四首,新丰美酒斗十千，咸阳游侠多少年。相逢意气为君饮，系马高楼垂柳边。出身仕汉羽林郎，初随骠骑战渔阳。孰知不向边庭苦，纵死犹闻侠骨香。一身能擘两雕弧，虏骑千重只似无。偏坐金鞍调白羽，纷纷射杀五单于。汉家君臣欢宴终，高议云台论战功。天子临轩赐侯印，将军佩出明光宫。,"新丰美酒一斗价值十千钱，出没五陵的游侠多是少年。
相逢时意气投合为君痛饮，骏马就拴在酒楼下垂柳边。

才从军便作汉朝的羽林郎，一开始就随将军鏖战渔阳。
谁知道不能去边关的痛苦，纵然战死还留下侠骨芬芳。

一个人就能拉开两张雕弓，敌骑千重全都不放在眼中。
偏坐金鞍上从容调好羽箭，不停地射去敌酋无法逃生。

朝廷君臣庆功大宴方告终，高高坐在云台上谈论战功。
天子亲临殿栏赐予列侯印，将军佩着印绶走出明光宫。",唐代,王维,边塞
1718,少年行四首,新丰美酒斗十千，咸阳游侠多少年。相逢意气为君饮，系马高楼垂柳边。出身仕汉羽林郎，初随骠骑战渔阳。孰知不向边庭苦，纵死犹闻侠骨香。一身能擘两雕弧，虏骑千重只似无。偏坐金鞍调白羽，纷纷射杀五单于。汉家君臣欢宴终，高议云台论战功。天子临轩赐侯印，将军佩出明光宫。,"新丰美酒一斗价值十千钱，出没五陵的游侠多是少年。
相逢时意气投合为君痛饮，骏马就拴在酒楼下垂柳边。

才从军便作汉朝的羽林郎，一开始就随将军鏖战渔阳。
谁知道不能去边关的痛苦，纵然战死还留下侠骨芬芳。

一个人就能拉开两张雕弓，敌骑千重全都不放在眼中。
偏坐金鞍上从容调好羽箭，不停地射去敌酋无法逃生。

朝廷君臣庆功大宴方告终，高高坐在云台上谈论战功。
天子亲临殿栏赐予列侯印，将军佩着印绶走出明光宫。",唐代,王维,战争
1744,侠客行,赵客缦胡缨，吴钩霜雪明。银鞍照白马，飒沓如流星。十步杀一人，千里不留行。事了拂衣去，深藏身与名。闲过信陵饮，脱剑膝前横。将炙啖朱亥，持觞劝侯嬴。三杯吐然诺，五岳倒为轻。眼花耳热后，意气素霓生。救赵挥金槌，邯郸先震惊。千秋二壮士，烜赫大梁城。纵死侠骨香，不惭世上英。谁能书阁下，白首太玄经。,"赵国的侠客帽上随便点缀着胡缨，吴钩宝剑如霜雪一样明亮。
银鞍与白马相互辉映，飞奔起来如飒飒流星。
十步之内，稳杀一人，千里关隘，不可留行。
完事以后，拂衣而去，不露一点声，深藏身名。
有时空闲，步过信陵郡，来点酒饮，脱剑横在膝前。
与朱亥一起大块吃肉，与侯嬴一道大碗喝酒。
三杯下肚，一诺千金，义气重于五岳。
酒后眼花耳热，意气勃勃劲生，气吞虹霓。
朱亥挥金槌杀大将窃兵符救赵，使邯郸军民大为震惊。
朱亥与侯嬴真千秋万古二壮士，声名煊赫大梁城。
身为侠客纵死侠骨也留香，不愧为一世英豪。
谁能学杨雄那个儒生，终身在书閤上，头发白了，还在书写《太玄经》。",唐代,李白,写人
1747,行行游且猎篇,边城儿，生年不读一字书，但知游猎夸轻趫。胡马秋肥宜白草，骑来蹑影何矜骄。金鞭拂雪挥鸣鞘，半酣呼鹰出远郊。弓弯满月不虚发，双鸧迸落连飞髇。海边观者皆辟易，猛气英风振沙碛。儒生不及游侠人，白首下帷复何益！,"看这些边境线上长大的男儿，一辈子斗大的字不认识一箩筐，就知道骑马游猎，各自夸轻巧。
秋风起，牧草白，正是马肥牛壮好时节，飞马追影，马背上的骑手多么洋洋自得啊！
酒足饭饱后架起猎鹰就去远郊狩猎，镶金的白玉马鞭一挥舞，就像雪花纷纷飞舞，鸣镝声萧萧。
能挽弯弓如满月，箭箭中的无虚发，一箭穿空落双枭。
草原上围观的人不由自主地身后退，生怕被箭风伤到，整个沙漠都被骑手的英雄气概震撼笼罩。
儒生哪比得上游侠儿，下帷苦读就算到了白头又有什么用！",唐代,李白,边塞
1755,浩歌,南风吹山作平地，帝遣天吴移海水。王母桃花千遍红，彭祖巫咸几回死？青毛骢马参差钱，娇春杨柳含缃烟。筝人劝我金屈卮，神血未凝身问谁？不须浪饮丁都护，世上英雄本无主。买丝绣作平原君，有酒唯浇赵州土。漏催水咽玉蟾蜍，卫娘发薄不胜梳。羞见秋眉换新绿，二十男儿那刺促？,"南风把大山吹成平地，天帝派天吴移来了海水。
王母的桃花开了上千遍，长寿的彭祖和巫咸也该死过几回。
坐骑的青骢马花纹如连钱，初春的杨柳含裹着缕缕云烟。
弹筝美人用金杯劝我饮酒，谓我年轻，前程未知当自勉。
不须纵酒欣赏那哀怨曲《丁都护》，要知道世上的英雄本来无定主。
买丝线绣一幅怜才爱士的平原君，有好酒只拿去浇祭赵州的旧土。
漏刻催逼，水流急急通过玉蟾蜍，侍酒女子头发稀薄已经不好梳。
眼看着浓黑眉毛转眼变衰白，二十岁的男子哪能无谓地空劳碌？",唐代,李贺,春天
1755,浩歌,南风吹山作平地，帝遣天吴移海水。王母桃花千遍红，彭祖巫咸几回死？青毛骢马参差钱，娇春杨柳含缃烟。筝人劝我金屈卮，神血未凝身问谁？不须浪饮丁都护，世上英雄本无主。买丝绣作平原君，有酒唯浇赵州土。漏催水咽玉蟾蜍，卫娘发薄不胜梳。羞见秋眉换新绿，二十男儿那刺促？,"南风把大山吹成平地，天帝派天吴移来了海水。
王母的桃花开了上千遍，长寿的彭祖和巫咸也该死过几回。
坐骑的青骢马花纹如连钱，初春的杨柳含裹着缕缕云烟。
弹筝美人用金杯劝我饮酒，谓我年轻，前程未知当自勉。
不须纵酒欣赏那哀怨曲《丁都护》，要知道世上的英雄本来无定主。
买丝线绣一幅怜才爱士的平原君，有好酒只拿去浇祭赵州的旧土。
漏刻催逼，水流急急通过玉蟾蜍，侍酒女子头发稀薄已经不好梳。
眼看着浓黑眉毛转眼变衰白，二十岁的男子哪能无谓地空劳碌？",唐代,李贺,写景
